country_code,country,region,income_group,males_1974,males_2014,females_1974,females_2014,surface_area
ABW,Aruba,Latin America & Caribbean,High income,29463,49378,31065,54417,180
AFG,Afghanistan,South Asia,Low income,6264873,16876928,6056668,15881092,652860
AGO,Angola,Sub-Saharan Africa,Lower middle income,3645025,13189103,3829313,13731363,1246700
ALB,Albania,Europe & Central Asia,Upper middle income,1209110,1457453,1141014,1431651,28750
AND,Andorra,Europe & Central Asia,High income,,,,,470
ARB,Arab World,,,68992698,201789533,67704063,188253495,11273293.99
ARE,United Arab Emirates,Middle East & North Africa,High income,324125,6669991,147239,2400876,83600
ARG,Argentina,Latin America & Caribbean,High income,12813363,21029519,12831143,21951996,2780400
ARM,Armenia,Europe & Central Asia,Upper middle income,1352769,1364486,1420978,1541734,29740
ASM,American Samoa,East Asia & Pacific,Upper middle income,,,,,200
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,33901,47425,36977,51450,440
AUS,Australia,East Asia & Pacific,High income,6884835,11706982,6838165,11768704,7741220
AUT,Austria,Europe & Central Asia,High income,3581050,4180208,4017988,4366148,83879.00391
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2723758,4741751,2855319,4793328,86600
BDI,Burundi,Sub-Saharan Africa,Low income,1755517,4862157,1863068,5029633,27830
BEL,Belgium,Europe & Central Asia,High income,4781582,5505482,4990837,5703575,30530
BEN,Benin,Sub-Saharan Africa,Low income,1535628,5122843,1651784,5163869,114760
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2986974,8750599,3053067,8835378,274220
BGD,Bangladesh,South Asia,Lower middle income,35711606,80459145,34172814,78946134,147630
BGR,Bulgaria,Europe & Central Asia,Upper middle income,4334408,3513651,4344337,3710287,111000
BHR,Bahrain,Middle East & North Africa,High income,139372,823306,112539,513091,770.9999847
BHS,"Bahamas, The",Latin America & Caribbean,High income,90839,187024,94260,195145,13880
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1938882,1750294,2003341,1815708,51210
BLR,Belarus,Europe & Central Asia,Upper middle income,4303954,4406803,5013630,5067708,207600
BLZ,Belize,Latin America & Caribbean,Upper middle income,65385,175429,65922,176265,22970
BMU,Bermuda,North America,High income,,,,,4290
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2445354,5290137,2456814,5272022,1098580
BRA,Brazil,Latin America & Caribbean,Upper middle income,52303519,100455246,52765848,103757887,8515770
BRB,Barbados,Latin America & Caribbean,High income,116746,135826,127793,147559,430
BRN,Brunei Darussalam,East Asia & Pacific,High income,79712,212251,75397,199453,5770
BTN,Bhutan,South Asia,Lower middle income,173463,412657,165480,363791,38393.99902
BWA,Botswana,Sub-Saharan Africa,Upper middle income,383504,1071600,412591,1096973,581730
CAF,Central African Republic,Sub-Saharan Africa,Low income,970468,2227221,1005053,2288171,622980
CAN,Canada,North America,High income,11403846,17626367,11370241,17908981,9984670
CEB,Central Europe and the Baltics,,,49634121,49964114,52305795,53532065,1135391.001
CHE,Switzerland,Europe & Central Asia,High income,3094206,4048932,3247199,4139717,41290
CHI,Channel Islands,Europe & Central Asia,High income,61123,80790,64559,82179,197.9999924
CHL,Chile,Latin America & Caribbean,High income,5050356,8721602,5216700,8892196,756096.0156
CHN,China,East Asia & Pacific,Upper middle income,461995352,702781045,438354648,661488955,9562911.25
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,3272652,11447207,3032635,11084143,322460
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,3584228,11125150,3670240,11114754,475440
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,10849124,36751756,11431799,36971104,2344860
